index,date,epoch_time,major,minor,accuracy,rssi,proximity
1,20170113_172211,1484295731.61378,1,15,-1.0,0,<Unknown>
1,20170113_172211,1484295731.61378,1,20,6.81292069057961,-92,Far
2,20170113_172212,1484295732.58536,1,15,-1.0,0,<Unknown>
2,20170113_172212,1484295732.58536,1,20,6.81292064186979,-92,Far
3,20170113_172213,1484295733.57894,1,20,-1.0,0,<Unknown>
3,20170113_172213,1484295733.57894,1,15,-1.0,0,<Unknown>
4,20170113_172214,1484295734.58258,1,20,-1.0,0,<Unknown>
4,20170113_172214,1484295734.58258,1,15,-1.0,0,<Unknown>
4,20170113_172214,1484295734.58258,1,25,5.99484250318941,-91,Far
4,20170113_172214,1484295734.58258,2,5,6.81292069057961,-92,Far
5,20170113_172215,1484295735.58057,1,20,-1.0,0,<Unknown>
5,20170113_172215,1484295735.58057,1,24,-1.0,0,<Unknown>
5,20170113_172215,1484295735.58057,1,15,-1.0,0,<Unknown>
5,20170113_172215,1484295735.58057,1,25,5.99484251297445,-91,Far
5,20170113_172215,1484295735.58057,2,5,6.81292064186979,-92,Far
6,20170113_172216,1484295736.58182,1,20,-1.0,0,<Unknown>
6,20170113_172216,1484295736.58182,1,24,-1.0,0,<Unknown>
6,20170113_172216,1484295736.58182,1,15,-1.0,0,<Unknown>
6,20170113_172216,1484295736.58182,2,5,6.81292061639999,-92,Far
6,20170113_172216,1484295736.58182,1,25,6.85960031631795,-94,Far
6,20170113_172216,1484295736.58182,2,4,10.0,-95,Far
7,20170113_172217,1484295737.58489,1,20,-1.0,0,<Unknown>
7,20170113_172217,1484295737.58489,1,15,-1.0,0,<Unknown>
7,20170113_172217,1484295737.58489,2,5,5.40800092305683,-87,Far
7,20170113_172217,1484295737.58489,1,25,6.29901156484358,-90,Far
7,20170113_172217,1484295737.58489,1,24,8.79922543569107,-94,Far
7,20170113_172217,1484295737.58489,2,10,8.79922543569107,-94,Far
7,20170113_172217,1484295737.58489,2,4,9.36126379153518,-94,Far
7,20170113_172217,1484295737.58489,1,14,10.0,-95,Far
7,20170113_172217,1484295737.58489,2,3,10.0,-95,Far
8,20170113_172218,1484295738.58833,1,20,-1.0,0,<Unknown>
8,20170113_172218,1484295738.58833,2,6,-1.0,0,<Unknown>
8,20170113_172218,1484295738.58833,1,14,-1.0,0,<Unknown>
8,20170113_172218,1484295738.58833,2,4,-1.0,0,<Unknown>
8,20170113_172218,1484295738.58833,2,11,-1.0,0,<Unknown>
8,20170113_172218,1484295738.58833,1,15,-1.0,0,<Unknown>
8,20170113_172218,1484295738.58833,2,5,4.39645045017636,-85,Far
8,20170113_172218,1484295738.58833,1,25,6.22173575741072,-91,Far
8,20170113_172218,1484295738.58833,2,10,8.20371739120256,-93,Far
8,20170113_172218,1484295738.58833,2,3,8.72771835355306,-93,Far
8,20170113_172218,1484295738.58833,1,24,8.79922560957601,-94,Far
8,20170113_172218,1484295738.58833,1,23,10.0,-95,Far
9,20170113_172219,1484295739.58537,1,20,-1.0,0,<Unknown>
9,20170113_172219,1484295739.58537,2,6,-1.0,0,<Unknown>
9,20170113_172219,1484295739.58537,1,14,-1.0,0,<Unknown>
9,20170113_172219,1484295739.58537,2,14,-1.0,0,<Unknown>
9,20170113_172219,1484295739.58537,2,11,-1.0,0,<Unknown>
9,20170113_172219,1484295739.58537,1,15,-1.0,0,<Unknown>
9,20170113_172219,1484295739.58537,2,5,3.22929223908585,-81,Far
9,20170113_172219,1484295739.58537,1,25,6.49528932625696,-93,Far
9,20170113_172219,1484295739.58537,2,10,7.25193699082075,-91,Far
9,20170113_172219,1484295739.58537,2,8,7.74263682681127,-93,Far
9,20170113_172219,1484295739.58537,2,3,7.96211199526819,-92,Far
9,20170113_172219,1484295739.58537,2,4,9.16138899675336,-94,Far
9,20170113_172219,1484295739.58537,1,24,9.19170428801061,-95,Far
9,20170113_172219,1484295739.58537,1,23,10.0,-95,Far
10,20170113_183059,1484299859.70831,2,17,1.89573565240638,-82,Near
10,20170113_183059,1484299859.70831,2,12,2.78255940220712,-85,Far
10,20170113_183059,1484299859.70831,2,11,4.08423865267452,-88,Far
10,20170113_183059,1484299859.70831,2,5,5.99484250318941,-91,Far
10,20170113_183059,1484299859.70831,2,9,5.99484250318941,-91,Far
10,20170113_183059,1484299859.70831,2,16,5.99484250318941,-91,Far
10,20170113_183059,1484299859.70831,2,14,5.99484250318941,-91,Far
