index,date,epoch_time,major,minor,accuracy,rssi,proximity
1,20170113_172205,1484295725.08292,2,5,3.59381366380463,-87,Far
1,20170113_172205,1484295725.08292,2,10,8.79922543569107,-94,Far
2,20170113_172206,1484295726.03961,2,5,6.36276386819996,-94,Far
2,20170113_172206,1484295726.03961,2,10,8.79922560957601,-94,Far
2,20170113_172206,1484295726.03961,1,25,10.0,-95,Far
2,20170113_172206,1484295726.03961,2,4,10.0,-95,Far
3,20170113_172207,1484295727.03974,2,5,3.76127657935,-84,Far
3,20170113_172207,1484295727.03974,2,9,7.74263682681127,-93,Far
3,20170113_172207,1484295727.03974,2,3,8.79922543569107,-94,Far
3,20170113_172207,1484295727.03974,2,10,8.7992256751539,-94,Far
3,20170113_172207,1484295727.03974,1,25,10.0,-95,Far
3,20170113_172207,1484295727.03974,2,4,10.0,-95,Far
4,20170113_172208,1484295728.03957,2,3,-1.0,0,<Unknown>
4,20170113_172208,1484295728.03957,2,9,-1.0,0,<Unknown>
4,20170113_172208,1484295728.03957,2,5,3.0294691238598,-83,Far
4,20170113_172208,1484295728.03957,2,10,7.44247759750988,-90,Far
4,20170113_172208,1484295728.03957,1,25,10.0,-95,Far
4,20170113_172208,1484295728.03957,2,4,10.0,-95,Far
5,20170113_172209,1484295729.03873,2,3,-1.0,0,<Unknown>
5,20170113_172209,1484295729.03873,2,4,-1.0,0,<Unknown>
5,20170113_172209,1484295729.03873,2,5,2.95699059181164,-85,Far
5,20170113_172209,1484295729.03873,2,10,7.71441292330983,-94,Far
5,20170113_172209,1484295729.03873,2,9,8.87131834030151,-95,Far
5,20170113_172209,1484295729.03873,1,25,10.0,-95,Far
6,20170113_172210,1484295730.03884,2,3,-1.0,0,<Unknown>
6,20170113_172210,1484295730.03884,2,5,3.0947236793118,-87,Far
6,20170113_172210,1484295730.03884,2,10,7.51471598916417,-92,Far
6,20170113_172210,1484295730.03884,2,9,9.28109215356289,-95,Far
6,20170113_172210,1484295730.03884,2,4,9.65239784580507,-94,Far
6,20170113_172210,1484295730.03884,1,25,10.0,-95,Far
7,20170113_172211,1484295731.04015,2,3,-1.0,0,<Unknown>
7,20170113_172211,1484295731.04015,1,25,-1.0,0,<Unknown>
7,20170113_172211,1484295731.04015,2,5,3.65158455440952,-94,Far
7,20170113_172211,1484295731.04015,2,10,7.7210349921982,-94,Far
7,20170113_172211,1484295731.04015,2,4,9.08821479793526,-93,Far
7,20170113_172211,1484295731.04015,2,9,9.47924650664532,-95,Far
7,20170113_172211,1484295731.04015,2,8,10.0,-95,Far
8,20170113_172212,1484295732.03576,1,25,-1.0,0,<Unknown>
