index,date,epoch_time,major,minor,accuracy,rssi,proximity
1,20170113_172235,1484295755.76860,2,1,5.99484250318941,-91,Far
1,20170113_172235,1484295755.76860,2,11,5.99484250318941,-91,Far
2,20170113_172236,1484295756.74916,2,1,-1.0,0,<Unknown>
2,20170113_172236,1484295756.74916,2,17,5.99484250318941,-91,Far
2,20170113_172236,1484295756.74916,2,7,5.99484250318941,-91,Far
2,20170113_172236,1484295756.74916,2,11,5.99484251297445,-91,Far
3,20170113_172237,1484295757.74931,2,7,-1.0,0,<Unknown>
3,20170113_172237,1484295757.74931,2,1,-1.0,0,<Unknown>
3,20170113_172237,1484295757.74931,2,11,-1.0,0,<Unknown>
3,20170113_172237,1484295757.74931,2,2,5.99484250318941,-91,Far
3,20170113_172237,1484295757.74931,2,17,5.99484251297445,-91,Far
4,20170113_172238,1484295758.74985,2,17,-1.0,0,<Unknown>
4,20170113_172238,1484295758.74985,2,2,-1.0,0,<Unknown>
4,20170113_172238,1484295758.74985,2,1,-1.0,0,<Unknown>
4,20170113_172238,1484295758.74985,2,11,-1.0,0,<Unknown>
4,20170113_172238,1484295758.74985,2,7,5.99484251297445,-91,Far
5,20170113_172239,1484295759.74962,2,17,-1.0,0,<Unknown>
5,20170113_172239,1484295759.74962,2,2,-1.0,0,<Unknown>
5,20170113_172239,1484295759.74962,2,1,-1.0,0,<Unknown>
5,20170113_172239,1484295759.74962,2,11,5.68811400531126,-90,Far
5,20170113_172239,1484295759.74962,2,7,5.9948425181763,-91,Far
6,20170113_172240,1484295760.74855,2,17,-1.0,0,<Unknown>
6,20170113_172240,1484295760.74855,2,1,-1.0,0,<Unknown>
6,20170113_172240,1484295760.74855,2,11,4.9126874315499,-88,Far
6,20170113_172240,1484295760.74855,2,7,5.22965957108624,-88,Far
6,20170113_172240,1484295760.74855,2,6,5.27499706370262,-90,Far
6,20170113_172240,1484295760.74855,2,2,5.99484251297445,-91,Far
7,20170113_172241,1484295761.75284,2,17,-1.0,0,<Unknown>
7,20170113_172241,1484295761.75284,2,6,-1.0,0,<Unknown>
7,20170113_172241,1484295761.75284,2,1,-1.0,0,<Unknown>
7,20170113_172241,1484295761.75284,2,11,4.82688849624485,-89,Far
7,20170113_172241,1484295761.75284,2,7,4.87788642847144,-88,Far
7,20170113_172241,1484295761.75284,2,2,5.9948425170195,-91,Far
8,20170113_172242,1484295762.75006,2,17,-1.0,0,<Unknown>
8,20170113_172242,1484295762.75006,2,1,-1.0,0,<Unknown>
8,20170113_172242,1484295762.75006,2,7,2.99300111876387,-79,Far
8,20170113_172242,1484295762.75006,2,6,4.84238815103424,-89,Far
