index,date,epoch_time,major,minor,accuracy,rssi,proximity
1,20170113_172844,1484296124.71461,1,10,-1.0,0,<Unknown>
1,20170113_172844,1484296124.71461,1,23,-1.0,0,<Unknown>
1,20170113_172844,1484296124.71461,1,17,-1.0,0,<Unknown>
1,20170113_172844,1484296124.71461,1,15,-1.0,0,<Unknown>
1,20170113_172844,1484296124.71461,1,3,-1.0,0,<Unknown>
1,20170113_172844,1484296124.71461,1,8,-1.0,0,<Unknown>
1,20170113_172844,1484296124.71461,1,19,6.81292069057961,-92,Far
2,20170113_172845,1484296125.71259,1,10,-1.0,0,<Unknown>
2,20170113_172845,1484296125.71259,1,23,-1.0,0,<Unknown>
2,20170113_172845,1484296125.71259,1,17,-1.0,0,<Unknown>
2,20170113_172845,1484296125.71259,1,15,-1.0,0,<Unknown>
2,20170113_172845,1484296125.71259,1,3,-1.0,0,<Unknown>
2,20170113_172845,1484296125.71259,1,24,-1.0,0,<Unknown>
2,20170113_172845,1484296125.71259,1,8,-1.0,0,<Unknown>
2,20170113_172845,1484296125.71259,1,19,6.30145691658844,-91,Far
3,20170113_172846,1484296126.71267,1,10,-1.0,0,<Unknown>
3,20170113_172846,1484296126.71267,1,23,-1.0,0,<Unknown>
3,20170113_172846,1484296126.71267,1,17,-1.0,0,<Unknown>
3,20170113_172846,1484296126.71267,1,15,-1.0,0,<Unknown>
3,20170113_172846,1484296126.71267,1,3,-1.0,0,<Unknown>
3,20170113_172846,1484296126.71267,1,14,-1.0,0,<Unknown>
3,20170113_172846,1484296126.71267,1,24,-1.0,0,<Unknown>
3,20170113_172846,1484296126.71267,1,8,-1.0,0,<Unknown>
3,20170113_172846,1484296126.71267,1,2,-1.0,0,<Unknown>
3,20170113_172846,1484296126.71267,1,22,-1.0,0,<Unknown>
3,20170113_172846,1484296126.71267,1,19,6.18016236613103,-91,Far
4,20170113_172847,1484296127.71125,1,10,-1.0,0,<Unknown>
4,20170113_172847,1484296127.71125,1,23,-1.0,0,<Unknown>
4,20170113_172847,1484296127.71125,1,17,-1.0,0,<Unknown>
4,20170113_172847,1484296127.71125,1,15,-1.0,0,<Unknown>
4,20170113_172847,1484296127.71125,1,3,-1.0,0,<Unknown>
4,20170113_172847,1484296127.71125,1,16,-1.0,0,<Unknown>
4,20170113_172847,1484296127.71125,1,14,-1.0,0,<Unknown>
4,20170113_172847,1484296127.71125,1,24,-1.0,0,<Unknown>
4,20170113_172847,1484296127.71125,1,8,-1.0,0,<Unknown>
4,20170113_172847,1484296127.71125,1,2,-1.0,0,<Unknown>
4,20170113_172847,1484296127.71125,1,22,-1.0,0,<Unknown>
4,20170113_172847,1484296127.71125,1,19,-1.0,0,<Unknown>
5,20170113_172848,1484296128.71289,1,18,-1.0,0,<Unknown>
5,20170113_172848,1484296128.71289,1,10,-1.0,0,<Unknown>
5,20170113_172848,1484296128.71289,1,23,-1.0,0,<Unknown>
5,20170113_172848,1484296128.71289,1,17,-1.0,0,<Unknown>
5,20170113_172848,1484296128.71289,1,15,-1.0,0,<Unknown>
5,20170113_172848,1484296128.71289,1,7,-1.0,0,<Unknown>
5,20170113_172848,1484296128.71289,1,3,-1.0,0,<Unknown>
5,20170113_172848,1484296128.71289,1,16,-1.0,0,<Unknown>
5,20170113_172848,1484296128.71289,1,14,-1.0,0,<Unknown>
5,20170113_172848,1484296128.71289,1,24,-1.0,0,<Unknown>
5,20170113_172848,1484296128.71289,1,8,-1.0,0,<Unknown>
5,20170113_172848,1484296128.71289,1,2,-1.0,0,<Unknown>
5,20170113_172848,1484296128.71289,1,22,-1.0,0,<Unknown>
5,20170113_172848,1484296128.71289,1,19,6.35231620958482,-92,Far
6,20170113_172849,1484296129.71312,1,18,-1.0,0,<Unknown>
6,20170113_172849,1484296129.71312,1,10,-1.0,0,<Unknown>
6,20170113_172849,1484296129.71312,1,23,-1.0,0,<Unknown>
6,20170113_172849,1484296129.71312,1,17,-1.0,0,<Unknown>
6,20170113_172849,1484296129.71312,1,15,-1.0,0,<Unknown>
6,20170113_172849,1484296129.71312,1,7,-1.0,0,<Unknown>
6,20170113_172849,1484296129.71312,1,3,-1.0,0,<Unknown>
6,20170113_172849,1484296129.71312,1,16,-1.0,0,<Unknown>
6,20170113_172849,1484296129.71312,1,14,-1.0,0,<Unknown>
6,20170113_172849,1484296129.71312,1,24,-1.0,0,<Unknown>
6,20170113_172849,1484296129.71312,1,8,-1.0,0,<Unknown>
6,20170113_172849,1484296129.71312,1,2,-1.0,0,<Unknown>
6,20170113_172849,1484296129.71312,1,22,-1.0,0,<Unknown>
6,20170113_172849,1484296129.71312,1,19,6.46772356340267,-92,Far
7,20170113_172850,1484296130.71496,1,18,-1.0,0,<Unknown>
7,20170113_172850,1484296130.71496,1,10,-1.0,0,<Unknown>
7,20170113_172850,1484296130.71496,1,23,-1.0,0,<Unknown>
7,20170113_172850,1484296130.71496,1,17,-1.0,0,<Unknown>
7,20170113_172850,1484296130.71496,1,15,-1.0,0,<Unknown>
7,20170113_172850,1484296130.71496,1,9,-1.0,0,<Unknown>
7,20170113_172850,1484296130.71496,1,7,-1.0,0,<Unknown>
7,20170113_172850,1484296130.71496,1,3,-1.0,0,<Unknown>
7,20170113_172850,1484296130.71496,1,16,-1.0,0,<Unknown>
7,20170113_172850,1484296130.71496,1,14,-1.0,0,<Unknown>
7,20170113_172850,1484296130.71496,1,24,-1.0,0,<Unknown>
7,20170113_172850,1484296130.71496,1,8,-1.0,0,<Unknown>
7,20170113_172850,1484296130.71496,1,2,-1.0,0,<Unknown>
7,20170113_172850,1484296130.71496,1,22,-1.0,0,<Unknown>
7,20170113_172850,1484296130.71496,1,1,-1.0,0,<Unknown>
7,20170113_172850,1484296130.71496,1,19,6.53895200208209,-92,Far
8,20170113_172851,1484296131.71483,1,18,-1.0,0,<Unknown>
8,20170113_172851,1484296131.71483,1,10,-1.0,0,<Unknown>
8,20170113_172851,1484296131.71483,1,23,-1.0,0,<Unknown>
8,20170113_172851,1484296131.71483,1,17,-1.0,0,<Unknown>
8,20170113_172851,1484296131.71483,1,15,-1.0,0,<Unknown>
8,20170113_172851,1484296131.71483,1,9,-1.0,0,<Unknown>
8,20170113_172851,1484296131.71483,1,7,-1.0,0,<Unknown>
8,20170113_172851,1484296131.71483,1,3,-1.0,0,<Unknown>
8,20170113_172851,1484296131.71483,1,16,-1.0,0,<Unknown>
8,20170113_172851,1484296131.71483,1,14,-1.0,0,<Unknown>
8,20170113_172851,1484296131.71483,1,24,-1.0,0,<Unknown>
8,20170113_172851,1484296131.71483,1,8,-1.0,0,<Unknown>
8,20170113_172851,1484296131.71483,1,2,-1.0,0,<Unknown>
8,20170113_172851,1484296131.71483,1,22,-1.0,0,<Unknown>
8,20170113_172851,1484296131.71483,1,1,-1.0,0,<Unknown>
8,20170113_172851,1484296131.71483,1,19,6.58689088826082,-92,Far
9,20170113_172852,1484296132.71524,1,18,-1.0,0,<Unknown>
9,20170113_172852,1484296132.71524,1,10,-1.0,0,<Unknown>
9,20170113_172852,1484296132.71524,1,23,-1.0,0,<Unknown>
9,20170113_172852,1484296132.71524,1,17,-1.0,0,<Unknown>
9,20170113_172852,1484296132.71524,1,15,-1.0,0,<Unknown>
9,20170113_172852,1484296132.71524,1,9,-1.0,0,<Unknown>
9,20170113_172852,1484296132.71524,1,7,-1.0,0,<Unknown>
9,20170113_172852,1484296132.71524,1,3,-1.0,0,<Unknown>
9,20170113_172852,1484296132.71524,1,16,-1.0,0,<Unknown>
9,20170113_172852,1484296132.71524,1,14,-1.0,0,<Unknown>
9,20170113_172852,1484296132.71524,1,24,-1.0,0,<Unknown>
9,20170113_172852,1484296132.71524,1,8,-1.0,0,<Unknown>
9,20170113_172852,1484296132.71524,1,2,-1.0,0,<Unknown>
9,20170113_172852,1484296132.71524,1,22,-1.0,0,<Unknown>
9,20170113_172852,1484296132.71524,1,1,-1.0,0,<Unknown>
9,20170113_172852,1484296132.71524,1,19,6.62111851271352,-92,Far
10,20170113_172853,1484296133.71492,1,18,-1.0,0,<Unknown>
10,20170113_172853,1484296133.71492,1,10,-1.0,0,<Unknown>
10,20170113_172853,1484296133.71492,1,23,-1.0,0,<Unknown>
10,20170113_172853,1484296133.71492,1,17,-1.0,0,<Unknown>
10,20170113_172853,1484296133.71492,1,15,-1.0,0,<Unknown>
10,20170113_172853,1484296133.71492,1,9,-1.0,0,<Unknown>
10,20170113_172853,1484296133.71492,1,7,-1.0,0,<Unknown>
10,20170113_172853,1484296133.71492,1,3,-1.0,0,<Unknown>
10,20170113_172853,1484296133.71492,1,16,-1.0,0,<Unknown>
10,20170113_172853,1484296133.71492,1,14,-1.0,0,<Unknown>
10,20170113_172853,1484296133.71492,1,24,-1.0,0,<Unknown>
10,20170113_172853,1484296133.71492,1,8,-1.0,0,<Unknown>
10,20170113_172853,1484296133.71492,1,2,-1.0,0,<Unknown>
10,20170113_172853,1484296133.71492,1,22,-1.0,0,<Unknown>
10,20170113_172853,1484296133.71492,1,1,-1.0,0,<Unknown>
10,20170113_172853,1484296133.71492,1,19,6.64671424769063,-92,Far
11,20170113_172854,1484296134.71152,1,18,-1.0,0,<Unknown>
11,20170113_172854,1484296134.71152,1,10,-1.0,0,<Unknown>
11,20170113_172854,1484296134.71152,1,23,-1.0,0,<Unknown>
11,20170113_172854,1484296134.71152,1,11,-1.0,0,<Unknown>
11,20170113_172854,1484296134.71152,1,15,-1.0,0,<Unknown>
11,20170113_172854,1484296134.71152,1,9,-1.0,0,<Unknown>
11,20170113_172854,1484296134.71152,1,7,-1.0,0,<Unknown>
11,20170113_172854,1484296134.71152,1,16,-1.0,0,<Unknown>
11,20170113_172854,1484296134.71152,1,14,-1.0,0,<Unknown>
11,20170113_172854,1484296134.71152,1,24,-1.0,0,<Unknown>
11,20170113_172854,1484296134.71152,1,8,-1.0,0,<Unknown>
11,20170113_172854,1484296134.71152,1,2,-1.0,0,<Unknown>
11,20170113_172854,1484296134.71152,1,22,-1.0,0,<Unknown>
11,20170113_172854,1484296134.71152,1,19,-1.0,0,<Unknown>
11,20170113_172854,1484296134.71152,1,1,-1.0,0,<Unknown>
12,20170113_172855,1484296135.71624,1,18,-1.0,0,<Unknown>
12,20170113_172855,1484296135.71624,1,10,-1.0,0,<Unknown>
12,20170113_172855,1484296135.71624,1,23,-1.0,0,<Unknown>
12,20170113_172855,1484296135.71624,1,11,-1.0,0,<Unknown>
12,20170113_172855,1484296135.71624,1,15,-1.0,0,<Unknown>
12,20170113_172855,1484296135.71624,1,9,-1.0,0,<Unknown>
12,20170113_172855,1484296135.71624,1,12,-1.0,0,<Unknown>
12,20170113_172855,1484296135.71624,1,7,-1.0,0,<Unknown>
12,20170113_172855,1484296135.71624,1,3,-1.0,0,<Unknown>
12,20170113_172855,1484296135.71624,1,16,-1.0,0,<Unknown>
12,20170113_172855,1484296135.71624,1,14,-1.0,0,<Unknown>
12,20170113_172855,1484296135.71624,1,24,-1.0,0,<Unknown>
12,20170113_172855,1484296135.71624,1,8,-1.0,0,<Unknown>
12,20170113_172855,1484296135.71624,1,2,-1.0,0,<Unknown>
12,20170113_172855,1484296135.71624,1,22,-1.0,0,<Unknown>
12,20170113_172855,1484296135.71624,1,19,-1.0,0,<Unknown>
12,20170113_172855,1484296135.71624,1,1,-1.0,0,<Unknown>
13,20170113_172856,1484296136.71127,1,18,-1.0,0,<Unknown>
13,20170113_172856,1484296136.71127,1,10,-1.0,0,<Unknown>
13,20170113_172856,1484296136.71127,1,23,-1.0,0,<Unknown>
13,20170113_172856,1484296136.71127,1,11,-1.0,0,<Unknown>
13,20170113_172856,1484296136.71127,1,9,-1.0,0,<Unknown>
13,20170113_172856,1484296136.71127,1,12,-1.0,0,<Unknown>
13,20170113_172856,1484296136.71127,1,7,-1.0,0,<Unknown>
13,20170113_172856,1484296136.71127,1,3,-1.0,0,<Unknown>
13,20170113_172856,1484296136.71127,1,16,-1.0,0,<Unknown>
13,20170113_172856,1484296136.71127,1,14,-1.0,0,<Unknown>
13,20170113_172856,1484296136.71127,1,24,-1.0,0,<Unknown>
13,20170113_172856,1484296136.71127,1,8,-1.0,0,<Unknown>
13,20170113_172856,1484296136.71127,1,2,-1.0,0,<Unknown>
13,20170113_172856,1484296136.71127,1,22,-1.0,0,<Unknown>
13,20170113_172856,1484296136.71127,1,1,-1.0,0,<Unknown>
13,20170113_172856,1484296136.71127,1,19,6.66661379712181,-92,Far
14,20170113_172857,1484296137.71515,1,18,-1.0,0,<Unknown>
14,20170113_172857,1484296137.71515,1,10,-1.0,0,<Unknown>
14,20170113_172857,1484296137.71515,1,23,-1.0,0,<Unknown>
14,20170113_172857,1484296137.71515,1,11,-1.0,0,<Unknown>
14,20170113_172857,1484296137.71515,1,9,-1.0,0,<Unknown>
14,20170113_172857,1484296137.71515,1,12,-1.0,0,<Unknown>
14,20170113_172857,1484296137.71515,1,7,-1.0,0,<Unknown>
14,20170113_172857,1484296137.71515,1,3,-1.0,0,<Unknown>
14,20170113_172857,1484296137.71515,1,14,-1.0,0,<Unknown>
14,20170113_172857,1484296137.71515,1,24,-1.0,0,<Unknown>
14,20170113_172857,1484296137.71515,1,8,-1.0,0,<Unknown>
14,20170113_172857,1484296137.71515,1,2,-1.0,0,<Unknown>
14,20170113_172857,1484296137.71515,1,22,-1.0,0,<Unknown>
14,20170113_172857,1484296137.71515,1,19,-1.0,0,<Unknown>
14,20170113_172857,1484296137.71515,1,1,-1.0,0,<Unknown>
15,20170113_172858,1484296138.71570,1,18,-1.0,0,<Unknown>
15,20170113_172858,1484296138.71570,1,10,-1.0,0,<Unknown>
15,20170113_172858,1484296138.71570,1,23,-1.0,0,<Unknown>
15,20170113_172858,1484296138.71570,1,11,-1.0,0,<Unknown>
15,20170113_172858,1484296138.71570,1,9,-1.0,0,<Unknown>
15,20170113_172858,1484296138.71570,1,12,-1.0,0,<Unknown>
15,20170113_172858,1484296138.71570,1,7,-1.0,0,<Unknown>
15,20170113_172858,1484296138.71570,1,3,-1.0,0,<Unknown>
15,20170113_172858,1484296138.71570,1,14,-1.0,0,<Unknown>
15,20170113_172858,1484296138.71570,1,24,-1.0,0,<Unknown>
15,20170113_172858,1484296138.71570,1,8,-1.0,0,<Unknown>
15,20170113_172858,1484296138.71570,1,2,-1.0,0,<Unknown>
15,20170113_172858,1484296138.71570,1,22,-1.0,0,<Unknown>
15,20170113_172858,1484296138.71570,1,1,-1.0,0,<Unknown>
15,20170113_172858,1484296138.71570,1,19,6.68489574781316,-92,Far
16,20170113_172859,1484296139.71193,1,18,-1.0,0,<Unknown>
16,20170113_172859,1484296139.71193,1,10,-1.0,0,<Unknown>
16,20170113_172859,1484296139.71193,1,23,-1.0,0,<Unknown>
16,20170113_172859,1484296139.71193,1,11,-1.0,0,<Unknown>
16,20170113_172859,1484296139.71193,1,9,-1.0,0,<Unknown>
16,20170113_172859,1484296139.71193,1,12,-1.0,0,<Unknown>
16,20170113_172859,1484296139.71193,1,7,-1.0,0,<Unknown>
16,20170113_172859,1484296139.71193,1,3,-1.0,0,<Unknown>
16,20170113_172859,1484296139.71193,1,14,-1.0,0,<Unknown>
16,20170113_172859,1484296139.71193,1,24,-1.0,0,<Unknown>
16,20170113_172859,1484296139.71193,1,8,-1.0,0,<Unknown>
16,20170113_172859,1484296139.71193,1,2,-1.0,0,<Unknown>
16,20170113_172859,1484296139.71193,1,22,-1.0,0,<Unknown>
16,20170113_172859,1484296139.71193,1,1,-1.0,0,<Unknown>
16,20170113_172859,1484296139.71193,1,19,6.70015013829647,-92,Far
17,20170113_172900,1484296140.71349,1,18,-1.0,0,<Unknown>
17,20170113_172900,1484296140.71349,1,10,-1.0,0,<Unknown>
17,20170113_172900,1484296140.71349,1,23,-1.0,0,<Unknown>
17,20170113_172900,1484296140.71349,1,11,-1.0,0,<Unknown>
17,20170113_172900,1484296140.71349,1,12,-1.0,0,<Unknown>
17,20170113_172900,1484296140.71349,1,7,-1.0,0,<Unknown>
17,20170113_172900,1484296140.71349,1,3,-1.0,0,<Unknown>
17,20170113_172900,1484296140.71349,1,14,-1.0,0,<Unknown>
17,20170113_172900,1484296140.71349,1,24,-1.0,0,<Unknown>
17,20170113_172900,1484296140.71349,1,8,-1.0,0,<Unknown>
17,20170113_172900,1484296140.71349,1,2,-1.0,0,<Unknown>
17,20170113_172900,1484296140.71349,1,22,-1.0,0,<Unknown>
17,20170113_172900,1484296140.71349,1,19,-1.0,0,<Unknown>
18,20170113_172901,1484296141.71251,1,18,-1.0,0,<Unknown>
18,20170113_172901,1484296141.71251,1,10,-1.0,0,<Unknown>
18,20170113_172901,1484296141.71251,1,23,-1.0,0,<Unknown>
18,20170113_172901,1484296141.71251,1,11,-1.0,0,<Unknown>
18,20170113_172901,1484296141.71251,1,12,-1.0,0,<Unknown>
18,20170113_172901,1484296141.71251,1,7,-1.0,0,<Unknown>
18,20170113_172901,1484296141.71251,1,3,-1.0,0,<Unknown>
18,20170113_172901,1484296141.71251,1,14,-1.0,0,<Unknown>
18,20170113_172901,1484296141.71251,1,24,-1.0,0,<Unknown>
18,20170113_172901,1484296141.71251,1,8,-1.0,0,<Unknown>
18,20170113_172901,1484296141.71251,1,2,-1.0,0,<Unknown>
18,20170113_172901,1484296141.71251,1,22,-1.0,0,<Unknown>
18,20170113_172901,1484296141.71251,1,19,-1.0,0,<Unknown>
19,20170113_172902,1484296142.71296,1,18,-1.0,0,<Unknown>
19,20170113_172902,1484296142.71296,1,10,-1.0,0,<Unknown>
19,20170113_172902,1484296142.71296,1,23,-1.0,0,<Unknown>
19,20170113_172902,1484296142.71296,1,11,-1.0,0,<Unknown>
19,20170113_172902,1484296142.71296,1,15,-1.0,0,<Unknown>
19,20170113_172902,1484296142.71296,1,12,-1.0,0,<Unknown>
19,20170113_172902,1484296142.71296,1,7,-1.0,0,<Unknown>
19,20170113_172902,1484296142.71296,1,3,-1.0,0,<Unknown>
19,20170113_172902,1484296142.71296,1,13,-1.0,0,<Unknown>
19,20170113_172902,1484296142.71296,1,14,-1.0,0,<Unknown>
19,20170113_172902,1484296142.71296,1,24,-1.0,0,<Unknown>
19,20170113_172902,1484296142.71296,1,8,-1.0,0,<Unknown>
19,20170113_172902,1484296142.71296,1,2,-1.0,0,<Unknown>
19,20170113_172902,1484296142.71296,1,22,-1.0,0,<Unknown>
19,20170113_172902,1484296142.71296,1,19,-1.0,0,<Unknown>
20,20170113_172903,1484296143.71463,1,18,-1.0,0,<Unknown>
20,20170113_172903,1484296143.71463,1,10,-1.0,0,<Unknown>
20,20170113_172903,1484296143.71463,1,23,-1.0,0,<Unknown>
20,20170113_172903,1484296143.71463,1,11,-1.0,0,<Unknown>
20,20170113_172903,1484296143.71463,1,15,-1.0,0,<Unknown>
20,20170113_172903,1484296143.71463,1,12,-1.0,0,<Unknown>
20,20170113_172903,1484296143.71463,1,7,-1.0,0,<Unknown>
20,20170113_172903,1484296143.71463,1,3,-1.0,0,<Unknown>
20,20170113_172903,1484296143.71463,1,13,-1.0,0,<Unknown>
20,20170113_172903,1484296143.71463,1,14,-1.0,0,<Unknown>
20,20170113_172903,1484296143.71463,1,24,-1.0,0,<Unknown>
20,20170113_172903,1484296143.71463,1,8,-1.0,0,<Unknown>
20,20170113_172903,1484296143.71463,1,2,-1.0,0,<Unknown>
20,20170113_172903,1484296143.71463,1,22,-1.0,0,<Unknown>
20,20170113_172903,1484296143.71463,1,19,-1.0,0,<Unknown>
21,20170113_172904,1484296144.71156,1,18,-1.0,0,<Unknown>
