index,date,epoch_time,major,minor,accuracy,rssi,proximity
1,20170113_172202,1484295722.06095,1,25,4.08423865267452,-88,Far
1,20170113_172202,1484295722.06095,1,24,4.64158883361278,-89,Far
2,20170113_172203,1484295723.03795,1,24,-1.0,0,<Unknown>
2,20170113_172203,1484295723.03795,1,25,3.38378155365191,-86,Far
2,20170113_172203,1484295723.03795,1,20,3.59381366380463,-87,Far
2,20170113_172203,1484295723.03795,1,19,5.27499706370262,-90,Far
3,20170113_172204,1484295724.03726,1,24,-1.0,0,<Unknown>
3,20170113_172204,1484295724.03726,1,25,3.65429378139145,-88,Far
3,20170113_172204,1484295724.03726,1,20,3.94202205843265,-88,Far
3,20170113_172204,1484295724.03726,1,14,4.64158883361278,-89,Far
3,20170113_172204,1484295724.03726,1,19,4.84238815103424,-89,Far
3,20170113_172204,1484295724.03726,1,18,5.27499706370262,-90,Far
3,20170113_172204,1484295724.03726,1,12,5.99484250318941,-91,Far
4,20170113_172205,1484295725.03956,1,24,-1.0,0,<Unknown>
4,20170113_172205,1484295725.03956,1,8,3.59381366380463,-87,Far
4,20170113_172205,1484295725.03956,1,25,3.92487807833792,-89,Far
4,20170113_172205,1484295725.03956,1,20,4.22078984085903,-89,Far
4,20170113_172205,1484295725.03956,1,14,4.24586260054,-88,Far
4,20170113_172205,1484295725.03956,1,19,4.50102157982705,-88,Far
4,20170113_172205,1484295725.03956,1,18,5.2749971226313,-90,Far
4,20170113_172205,1484295725.03956,2,4,5.99484250318941,-91,Far
4,20170113_172205,1484295725.03956,1,12,5.99484251297445,-91,Far
5,20170113_172206,1484295726.04014,1,12,-1.0,0,<Unknown>
5,20170113_172206,1484295726.04014,1,20,-1.0,0,<Unknown>
5,20170113_172206,1484295726.04014,1,24,-1.0,0,<Unknown>
5,20170113_172206,1484295726.04014,2,4,-1.0,0,<Unknown>
5,20170113_172206,1484295726.04014,1,25,-1.0,0,<Unknown>
5,20170113_172206,1484295726.04014,1,14,3.01608922966589,-83,Far
5,20170113_172206,1484295726.04014,1,8,3.59381366220677,-87,Far
5,20170113_172206,1484295726.04014,1,19,4.3633761323827,-88,Far
5,20170113_172206,1484295726.04014,1,15,5.27499706370262,-90,Far
5,20170113_172206,1484295726.04014,1,18,5.27499716480341,-90,Far
5,20170113_172206,1484295726.04014,1,10,5.99484250318941,-91,Far
6,20170113_172207,1484295727.04035,1,8,-1.0,0,<Unknown>
6,20170113_172207,1484295727.04035,1,12,-1.0,0,<Unknown>
6,20170113_172207,1484295727.04035,1,18,-1.0,0,<Unknown>
6,20170113_172207,1484295727.04035,1,20,-1.0,0,<Unknown>
6,20170113_172207,1484295727.04035,1,24,-1.0,0,<Unknown>
6,20170113_172207,1484295727.04035,2,4,-1.0,0,<Unknown>
6,20170113_172207,1484295727.04035,1,25,-1.0,0,<Unknown>
6,20170113_172207,1484295727.04035,1,14,2.39114657845261,-81,Far
6,20170113_172207,1484295727.04035,1,13,4.08423865267452,-88,Far
6,20170113_172207,1484295727.04035,1,19,4.28752984460592,-88,Far
6,20170113_172207,1484295727.04035,1,15,5.2749971226313,-90,Far
6,20170113_172207,1484295727.04035,1,10,5.99484251297445,-91,Far
7,20170113_172208,1484295728.03971,1,8,-1.0,0,<Unknown>
7,20170113_172208,1484295728.03971,1,19,-1.0,0,<Unknown>
7,20170113_172208,1484295728.03971,1,15,-1.0,0,<Unknown>
7,20170113_172208,1484295728.03971,1,10,-1.0,0,<Unknown>
7,20170113_172208,1484295728.03971,1,18,-1.0,0,<Unknown>
7,20170113_172208,1484295728.03971,1,24,-1.0,0,<Unknown>
7,20170113_172208,1484295728.03971,2,4,-1.0,0,<Unknown>
7,20170113_172208,1484295728.03971,1,25,-1.0,0,<Unknown>
7,20170113_172208,1484295728.03971,1,14,1.50098708609936,-75,Far
7,20170113_172208,1484295728.03971,1,13,4.08423861687013,-88,Far
7,20170113_172208,1484295728.03971,1,20,4.34859168439951,-89,Far
7,20170113_172208,1484295728.03971,1,9,4.64158883361278,-89,Far
7,20170113_172208,1484295728.03971,1,12,5.68782511831596,-90,Far
8,20170113_172209,1484295729.04107,1,15,-1.0,0,<Unknown>
8,20170113_172209,1484295729.04107,1,10,-1.0,0,<Unknown>
8,20170113_172209,1484295729.04107,1,18,-1.0,0,<Unknown>
8,20170113_172209,1484295729.04107,1,24,-1.0,0,<Unknown>
8,20170113_172209,1484295729.04107,2,4,-1.0,0,<Unknown>
8,20170113_172209,1484295729.04107,1,25,-1.0,0,<Unknown>
8,20170113_172209,1484295729.04107,1,14,1.24897655703365,-76,Near
8,20170113_172209,1484295729.04107,1,13,3.85812425536211,-87,Far
8,20170113_172209,1484295729.04107,1,8,3.98968833712327,-89,Far
8,20170113_172209,1484295729.04107,1,3,4.08423865267452,-88,Far
8,20170113_172209,1484295729.04107,1,20,4.46323322702855,-89,Far
8,20170113_172209,1484295729.04107,1,19,4.480934591505,-90,Far
8,20170113_172209,1484295729.04107,1,9,5.0562587137125,-90,Far
8,20170113_172209,1484295729.04107,1,12,5.51433879173113,-90,Far
8,20170113_172209,1484295729.04107,1,17,5.99484250318941,-91,Far
9,20170113_172210,1484295730.04257,1,15,-1.0,0,<Unknown>
9,20170113_172210,1484295730.04257,1,10,-1.0,0,<Unknown>
9,20170113_172210,1484295730.04257,1,18,-1.0,0,<Unknown>
9,20170113_172210,1484295730.04257,1,20,-1.0,0,<Unknown>
9,20170113_172210,1484295730.04257,1,24,-1.0,0,<Unknown>
9,20170113_172210,1484295730.04257,2,4,-1.0,0,<Unknown>
9,20170113_172210,1484295730.04257,1,9,-1.0,0,<Unknown>
9,20170113_172210,1484295730.04257,1,25,-1.0,0,<Unknown>
9,20170113_172210,1484295730.04257,1,14,1.35039199255173,-81,Near
9,20170113_172210,1484295730.04257,1,13,3.76886875645946,-87,Far
9,20170113_172210,1484295730.04257,1,8,3.79932586831228,-87,Far
