index,date,epoch_time,major,minor,accuracy,rssi,proximity
1,20170113_172222,1484295742.47056,2,9,3.59381366380463,-87,Far
2,20170113_172223,1484295743.43088,2,9,3.26595549168505,-86,Far
3,20170113_172224,1484295744.42620,2,9,3.40278179624097,-87,Far
4,20170113_172225,1484295745.42807,2,9,3.16976041094221,-85,Far
5,20170113_172226,1484295746.42642,2,9,3.16767464272713,-86,Far
6,20170113_172227,1484295747.42625,2,9,3.4406058102776,-89,Far
7,20170113_172228,1484295748.42620,2,9,3.74135526338921,-90,Far
8,20170113_172229,1484295749.42371,2,9,3.9939806234943,-90,Far
9,20170113_172230,1484295750.42994,2,9,4.29059404290868,-91,Far
10,20170113_172231,1484295751.42407,2,9,4.35615823918077,-89,Far
11,20170113_172232,1484295752.42121,2,9,4.40839161782921,-89,Far
12,20170113_172233,1484295753.42395,2,9,4.45051486272966,-89,Far
13,20170113_172234,1484295754.42474,2,9,4.48478816556212,-89,Far
14,20170113_172235,1484295755.43031,2,9,4.70212217816768,-91,Far
14,20170113_172235,1484295755.43031,2,10,6.81292069057961,-92,Far
14,20170113_172235,1484295755.43031,2,14,6.81292069057961,-92,Far
15,20170113_172236,1484295756.42766,2,9,4.89289368244855,-91,Far
15,20170113_172236,1484295756.42766,2,10,6.30145691658844,-91,Far
15,20170113_172236,1484295756.42766,2,14,6.81292064186979,-92,Far
16,20170113_172237,1484295757.42565,2,10,-1.0,0,<Unknown>
16,20170113_172237,1484295757.42565,2,9,-1.0,0,<Unknown>
16,20170113_172237,1484295757.42565,2,14,6.1287797935795,-90,Far
17,20170113_172238,1484295758.42053,2,10,-1.0,0,<Unknown>
17,20170113_172238,1484295758.42053,2,9,-1.0,0,<Unknown>
17,20170113_172238,1484295758.42053,2,14,5.85264861750659,-90,Far
18,20170113_172239,1484295759.42769,2,10,-1.0,0,<Unknown>
18,20170113_172239,1484295759.42769,2,9,-1.0,0,<Unknown>
18,20170113_172239,1484295759.42769,2,14,6.06028419515904,-92,Far
19,20170113_172240,1484295760.42784,2,10,-1.0,0,<Unknown>
19,20170113_172240,1484295760.42784,2,9,-1.0,0,<Unknown>
19,20170113_172240,1484295760.42784,2,14,4.12255103005139,-82,Far
20,20170113_172241,1484295761.43747,2,10,-1.0,0,<Unknown>
20,20170113_172241,1484295761.43747,2,9,-1.0,0,<Unknown>
20,20170113_172241,1484295761.43747,2,14,2.51794578299769,-77,Near
20,20170113_172241,1484295761.43747,2,8,5.99484250318941,-91,Far
21,20170113_172242,1484295762.42767,2,10,-1.0,0,<Unknown>
21,20170113_172242,1484295762.42767,2,9,-1.0,0,<Unknown>
21,20170113_172242,1484295762.42767,2,14,1.79624966117963,-76,Near
21,20170113_172242,1484295762.42767,2,8,5.99484251297445,-91,Far
22,20170113_172243,1484295763.42734,2,10,-1.0,0,<Unknown>
22,20170113_172243,1484295763.42734,2,14,-1.0,0,<Unknown>
22,20170113_172243,1484295763.42734,2,9,-1.0,0,<Unknown>
22,20170113_172243,1484295763.42734,2,8,5.37534476444223,-89,Far
23,20170113_172244,1484295764.42644,2,10,-1.0,0,<Unknown>
23,20170113_172244,1484295764.42644,2,14,-1.0,0,<Unknown>
23,20170113_172244,1484295764.42644,2,9,-1.0,0,<Unknown>
23,20170113_172244,1484295764.42644,2,8,5.3448745609535,-90,Far
24,20170113_172245,1484295765.43108,2,8,-1.0,0,<Unknown>
24,20170113_172245,1484295765.43108,2,10,-1.0,0,<Unknown>
24,20170113_172245,1484295765.43108,2,14,-1.0,0,<Unknown>
25,20170113_172246,1484295766.42572,2,8,-1.0,0,<Unknown>
25,20170113_172246,1484295766.42572,2,14,-1.0,0,<Unknown>
25,20170113_172246,1484295766.42572,2,18,6.81292069057961,-92,Far
26,20170113_172247,1484295767.43144,2,8,-1.0,0,<Unknown>
26,20170113_172247,1484295767.43144,2,18,-1.0,0,<Unknown>
26,20170113_172247,1484295767.43144,2,14,-1.0,0,<Unknown>
26,20170113_172247,1484295767.43144,2,12,3.16227766016838,-86,Far
26,20170113_172247,1484295767.43144,2,11,5.27499706370262,-90,Far
26,20170113_172247,1484295767.43144,2,17,6.81292069057961,-92,Far
27,20170113_172248,1484295768.42790,2,8,-1.0,0,<Unknown>
27,20170113_172248,1484295768.42790,2,18,-1.0,0,<Unknown>
27,20170113_172248,1484295768.42790,2,14,-1.0,0,<Unknown>
27,20170113_172248,1484295768.42790,2,12,3.16227766938171,-86,Far
27,20170113_172248,1484295768.42790,2,16,5.27499706370262,-90,Far
27,20170113_172248,1484295768.42790,2,11,5.2749971226313,-90,Far
27,20170113_172248,1484295768.42790,2,17,6.81292064186979,-92,Far
28,20170113_172249,1484295769.43372,2,8,-1.0,0,<Unknown>
28,20170113_172249,1484295769.43372,2,18,-1.0,0,<Unknown>
28,20170113_172249,1484295769.43372,2,12,-1.0,0,<Unknown>
28,20170113_172249,1484295769.43372,2,14,-1.0,0,<Unknown>
28,20170113_172249,1484295769.43372,2,11,-1.0,0,<Unknown>
28,20170113_172249,1484295769.43372,2,17,5.07331721780326,-87,Far
28,20170113_172249,1484295769.43372,2,16,5.7250455929695,-91,Far
29,20170113_172250,1484295770.42762,2,8,-1.0,0,<Unknown>
29,20170113_172250,1484295770.42762,2,18,-1.0,0,<Unknown>
29,20170113_172250,1484295770.42762,2,12,-1.0,0,<Unknown>
29,20170113_172250,1484295770.42762,2,14,-1.0,0,<Unknown>
29,20170113_172250,1484295770.42762,2,16,-1.0,0,<Unknown>
29,20170113_172250,1484295770.42762,2,11,-1.0,0,<Unknown>
29,20170113_172250,1484295770.42762,2,17,4.30645462161004,-86,Far
30,20170113_172251,1484295771.43394,2,8,-1.0,0,<Unknown>
30,20170113_172251,1484295771.43394,2,18,-1.0,0,<Unknown>
30,20170113_172251,1484295771.43394,2,14,-1.0,0,<Unknown>
30,20170113_172251,1484295771.43394,2,16,-1.0,0,<Unknown>
30,20170113_172251,1484295771.43394,2,11,-1.0,0,<Unknown>
30,20170113_172251,1484295771.43394,2,17,4.10242987183478,-87,Far
30,20170113_172251,1484295771.43394,2,12,4.16387572962288,-92,Far
31,20170113_172252,1484295772.42793,2,8,-1.0,0,<Unknown>
31,20170113_172252,1484295772.42793,2,18,-1.0,0,<Unknown>
31,20170113_172252,1484295772.42793,2,16,-1.0,0,<Unknown>
31,20170113_172252,1484295772.42793,2,11,-1.0,0,<Unknown>
31,20170113_172252,1484295772.42793,2,17,3.97461705179569,-87,Far
31,20170113_172252,1484295772.42793,2,12,4.60332290625442,-90,Far
32,20170113_172253,1484295773.42991,2,8,-1.0,0,<Unknown>
32,20170113_172253,1484295773.42991,2,18,-1.0,0,<Unknown>
32,20170113_172253,1484295773.42991,2,16,-1.0,0,<Unknown>
32,20170113_172253,1484295773.42991,2,11,-1.0,0,<Unknown>
32,20170113_172253,1484295773.42991,2,17,4.10011514085179,-89,Far
32,20170113_172253,1484295773.42991,2,12,4.61584957897355,-89,Far
33,20170113_172254,1484295774.42751,2,18,-1.0,0,<Unknown>
33,20170113_172254,1484295774.42751,2,16,-1.0,0,<Unknown>
33,20170113_172254,1484295774.42751,2,11,-1.0,0,<Unknown>
33,20170113_172254,1484295774.42751,2,17,4.29461884097503,-90,Far
33,20170113_172254,1484295774.42751,2,12,4.91947673697147,-91,Far
34,20170113_172255,1484295775.42813,2,18,-1.0,0,<Unknown>
34,20170113_172255,1484295775.42813,2,16,-1.0,0,<Unknown>
34,20170113_172255,1484295775.42813,2,11,-1.0,0,<Unknown>
34,20170113_172255,1484295775.42813,2,17,4.45734287111039,-90,Far
34,20170113_172255,1484295775.42813,2,12,5.13429109652171,-91,Far
35,20170113_172256,1484295776.43021,2,12,-1.0,0,<Unknown>
35,20170113_172256,1484295776.43021,2,16,-1.0,0,<Unknown>
35,20170113_172256,1484295776.43021,2,11,-1.0,0,<Unknown>
35,20170113_172256,1484295776.43021,2,17,4.59317178394442,-90,Far
36,20170113_172257,1484295777.42768,2,16,-1.0,0,<Unknown>
36,20170113_172257,1484295777.42768,2,17,4.70663160145029,-90,Far
36,20170113_172257,1484295777.42768,2,12,5.41581313851245,-92,Far
37,20170113_172258,1484295778.42691,2,12,-1.0,0,<Unknown>
37,20170113_172258,1484295778.42691,2,16,-1.0,0,<Unknown>
37,20170113_172258,1484295778.42691,2,17,4.98817640088546,-92,Far
38,20170113_172259,1484295779.43051,2,12,-1.0,0,<Unknown>
38,20170113_172259,1484295779.43051,2,17,5.23916897215502,-92,Far
39,20170113_172300,1484295780.42512,2,12,-1.0,0,<Unknown>
39,20170113_172300,1484295780.42512,2,17,-1.0,0,<Unknown>
40,20170113_172301,1484295781.42533,2,12,-1.0,0,<Unknown>
40,20170113_172301,1484295781.42533,2,17,-1.0,0,<Unknown>
41,20170113_172302,1484295782.42510,2,12,-1.0,0,<Unknown>
41,20170113_172302,1484295782.42510,2,17,-1.0,0,<Unknown>
42,20170113_172303,1484295783.42499,2,12,-1.0,0,<Unknown>
42,20170113_172303,1484295783.42499,2,17,-1.0,0,<Unknown>
43,20170113_172304,1484295784.42545,2,12,-1.0,0,<Unknown>
43,20170113_172304,1484295784.42545,2,17,5.24541238673214,-90,Far
44,20170113_172305,1484295785.42539,2,12,-1.0,0,<Unknown>
44,20170113_172305,1484295785.42539,2,17,5.25500130003271,-90,Far
45,20170113_172306,1484295786.42335,2,12,-1.0,0,<Unknown>
45,20170113_172306,1484295786.42335,2,17,5.43196336415157,-91,Far
46,20170113_172307,1484295787.42430,2,17,5.39528097967478,-90,Far
47,20170113_172308,1484295788.41971,2,17,5.36993948554164,-90,Far
48,20170113_172309,1484295789.42611,2,17,5.35134552299881,-90,Far
49,20170113_172310,1484295790.43254,2,17,5.20459023243228,-89,Far
50,20170113_172311,1484295791.43051,2,17,5.09376798195097,-89,Far
51,20170113_172312,1484295792.42656,2,17,5.23196046712726,-91,Far
52,20170113_172313,1484295793.42962,2,17,5.34970987884763,-91,Far
53,20170113_172314,1484295794.42461,2,17,5.33681119584551,-90,Far
54,20170113_172315,1484295795.42218,2,17,5.32626418046786,-90,Far
55,20170113_172316,1484295796.42458,2,17,5.42790080551549,-91,Far
56,20170113_172317,1484295797.42937,2,17,5.14552868649121,-88,Far
57,20170113_172318,1484295798.42402,2,17,4.93101620582632,-88,Far
58,20170113_172319,1484295799.42701,2,17,4.76459694293053,-88,Far
59,20170113_172320,1484295800.42373,2,17,4.63304800027989,-88,Far
60,20170113_172321,1484295801.43119,2,17,4.52829795848054,-88,Far
61,20170113_172322,1484295802.42484,2,17,4.54766353203836,-89,Far
62,20170113_172323,1484295803.41890,2,17,4.45899303361527,-88,Far
63,20170113_172324,1484295804.43220,2,17,4.27743302184262,-87,Far
64,20170113_172325,1484295805.42602,2,17,4.24157170472655,-88,Far
65,20170113_172326,1484295806.42615,2,17,4.21231169014875,-88,Far
66,20170113_172327,1484295807.42636,2,17,4.18846346332458,-88,Far
67,20170113_172328,1484295808.42682,2,17,4.26447566784591,-89,Far
67,20170113_172328,1484295808.42682,2,12,6.81292069057961,-92,Far
68,20170113_172329,1484295809.42484,2,17,4.32877842742108,-89,Far
68,20170113_172329,1484295809.42484,2,12,6.81292064186979,-92,Far
69,20170113_172330,1484295810.42391,2,12,-1.0,0,<Unknown>
69,20170113_172330,1484295810.42391,2,17,4.17308143512362,-87,Far
70,20170113_172331,1484295811.42444,2,12,-1.0,0,<Unknown>
70,20170113_172331,1484295811.42444,2,17,4.05338548106343,-87,Far
71,20170113_172332,1484295812.42979,2,12,-1.0,0,<Unknown>
71,20170113_172332,1484295812.42979,2,17,4.05904666878575,-88,Far
72,20170113_172333,1484295813.42869,2,12,-1.0,0,<Unknown>
72,20170113_172333,1484295813.42869,2,17,4.06370418617919,-88,Far
73,20170113_172334,1484295814.42570,2,12,-1.0,0,<Unknown>
73,20170113_172334,1484295814.42570,2,17,4.06751249189679,-88,Far
74,20170113_172335,1484295815.42552,2,17,3.97006476979819,-87,Far
74,20170113_172335,1484295815.42552,2,12,6.81292061639638,-92,Far
75,20170113_172336,1484295816.42546,2,12,-1.0,0,<Unknown>
75,20170113_172336,1484295816.42546,2,17,3.89375946484163,-87,Far
76,20170113_172337,1484295817.42928,2,12,-1.0,0,<Unknown>
76,20170113_172337,1484295817.42928,2,17,3.92827440672735,-88,Far
77,20170113_172338,1484295818.42112,2,12,-1.0,0,<Unknown>
77,20170113_172338,1484295818.42112,2,17,3.95504935230297,-88,Far
78,20170113_172339,1484295819.42038,2,17,3.88431908273117,-87,Far
78,20170113_172339,1484295819.42038,2,12,6.81292061494027,-92,Far
79,20170113_172340,1484295820.42667,2,17,3.827278073284,-87,Far
79,20170113_172340,1484295820.42667,2,12,6.81292060543255,-92,Far
80,20170113_172341,1484295821.42618,2,17,3.8729319487439,-88,Far
80,20170113_172341,1484295821.42618,2,12,6.81292059770276,-92,Far
81,20170113_172342,1484295822.42421,2,17,3.81701333517465,-87,Far
81,20170113_172342,1484295822.42421,2,12,6.81292059284489,-92,Far
82,20170113_172343,1484295823.43195,2,17,3.86195957495283,-88,Far
82,20170113_172343,1484295823.43195,2,12,6.81292058952415,-92,Far
83,20170113_172344,1484295824.42915,2,17,3.81555910901278,-87,Far
83,20170113_172344,1484295824.42915,2,12,6.8129205871253,-92,Far
84,20170113_172345,1484295825.42496,2,17,3.85295132898148,-88,Far
84,20170113_172345,1484295825.42496,2,12,6.81292058531024,-92,Far
85,20170113_172346,1484295826.42555,2,17,3.81630034435773,-87,Far
85,20170113_172346,1484295826.42555,2,12,6.81292058390272,-92,Far
86,20170113_172347,1484295827.42647,2,17,3.78790304613952,-87,Far
86,20170113_172347,1484295827.42647,2,12,6.81292058278329,-92,Far
87,20170113_172348,1484295828.42565,2,17,3.75880649932951,-87,Far
87,20170113_172348,1484295828.42565,2,12,6.81292058410212,-92,Far
88,20170113_172349,1484295829.42466,2,17,3.73147020270665,-87,Far
88,20170113_172349,1484295829.42466,2,12,6.81292058512477,-92,Far
89,20170113_172350,1484295830.42493,2,17,3.78745403073946,-88,Far
89,20170113_172350,1484295830.42493,2,12,6.81292058590722,-92,Far
90,20170113_172351,1484295831.42459,2,17,3.83723677833211,-88,Far
90,20170113_172351,1484295831.42459,2,12,6.81292058649722,-92,Far
91,20170113_172352,1484295832.42546,2,12,-1.0,0,<Unknown>
91,20170113_172352,1484295832.42546,2,17,3.7933145840457,-87,Far
92,20170113_172353,1484295833.42555,2,17,3.76029117146006,-87,Far
92,20170113_172353,1484295833.42555,2,12,6.81292058602631,-92,Far
93,20170113_172354,1484295834.43287,2,17,3.73091480167626,-87,Far
93,20170113_172354,1484295834.43287,2,12,6.81292059309325,-92,Far
94,20170113_172355,1484295835.42574,2,12,-1.0,0,<Unknown>
94,20170113_172355,1484295835.42574,2,17,3.78949290579689,-88,Far
95,20170113_172356,1484295836.42703,2,12,-1.0,0,<Unknown>
95,20170113_172356,1484295836.42703,2,17,4.06310190992357,-91,Far
96,20170113_172357,1484295837.42685,2,17,4.15871017085623,-89,Far
96,20170113_172357,1484295837.42685,2,12,6.65224189350358,-91,Far
97,20170113_172358,1484295838.42176,2,17,4.32786576911369,-90,Far
97,20170113_172358,1484295838.42176,2,12,6.44581623406443,-91,Far
98,20170113_172359,1484295839.42562,2,12,-1.0,0,<Unknown>
98,20170113_172359,1484295839.42562,2,17,4.47534451031073,-90,Far
99,20170113_172400,1484295840.42420,2,12,-1.0,0,<Unknown>
99,20170113_172400,1484295840.42420,2,17,4.60256123790944,-90,Far
100,20170113_172401,1484295841.42468,2,12,-1.0,0,<Unknown>
100,20170113_172401,1484295841.42468,2,17,4.60955813133788,-89,Far
101,20170113_172402,1484295842.43009,2,12,-1.0,0,<Unknown>
