index,date,epoch_time,major,minor,accuracy,rssi,proximity
1,20170113_172352,1484295832.58501,2,19,5.99484250318941,-91,Far
2,20170113_172353,1484295833.56052,2,10,3.16227766016838,-86,Far
2,20170113_172353,1484295833.56052,2,5,5.27499706370262,-90,Far
2,20170113_172353,1484295833.56052,2,19,5.99484251297445,-91,Far
3,20170113_172354,1484295834.55584,2,19,-1.0,0,<Unknown>
3,20170113_172354,1484295834.55584,2,10,3.16227766938171,-86,Far
3,20170113_172354,1484295834.55584,2,5,5.2749971226313,-90,Far
4,20170113_172355,1484295835.55331,2,10,-1.0,0,<Unknown>
4,20170113_172355,1484295835.55331,2,5,-1.0,0,<Unknown>
4,20170113_172355,1484295835.55331,2,19,-1.0,0,<Unknown>
4,20170113_172355,1484295835.55331,2,14,2.15443469003188,-83,Near
5,20170113_172356,1484295836.55373,2,10,-1.0,0,<Unknown>
5,20170113_172356,1484295836.55373,2,5,-1.0,0,<Unknown>
5,20170113_172356,1484295836.55373,2,19,-1.0,0,<Unknown>
5,20170113_172356,1484295836.55373,2,14,2.6458266812041,-85,Near
6,20170113_172357,1484295837.55447,2,10,-1.0,0,<Unknown>
6,20170113_172357,1484295837.55447,2,5,-1.0,0,<Unknown>
6,20170113_172357,1484295837.55447,2,19,-1.0,0,<Unknown>
6,20170113_172357,1484295837.55447,2,14,3.71523826229545,-92,Near
7,20170113_172358,1484295838.55820,2,10,-1.0,0,<Unknown>
7,20170113_172358,1484295838.55820,2,5,-1.0,0,<Unknown>
7,20170113_172358,1484295838.55820,2,14,4.39719839321058,-92,Near
7,20170113_172358,1484295838.55820,2,19,4.42727434256963,-86,Far
8,20170113_172359,1484295839.55475,2,10,-1.0,0,<Unknown>
8,20170113_172359,1484295839.55475,2,14,-1.0,0,<Unknown>
8,20170113_172359,1484295839.55475,2,5,-1.0,0,<Unknown>
8,20170113_172359,1484295839.55475,2,19,3.59302082535218,-86,Far
9,20170113_172400,1484295840.55301,2,10,-1.0,0,<Unknown>
9,20170113_172400,1484295840.55301,2,14,-1.0,0,<Unknown>
9,20170113_172400,1484295840.55301,2,5,-1.0,0,<Unknown>
9,20170113_172400,1484295840.55301,2,19,3.76798960422175,-88,Far
10,20170113_172401,1484295841.55801,2,10,-1.0,0,<Unknown>
10,20170113_172401,1484295841.55801,2,14,-1.0,0,<Unknown>
10,20170113_172401,1484295841.55801,2,5,-1.0,0,<Unknown>
10,20170113_172401,1484295841.55801,2,19,3.85815923713175,-88,Far
11,20170113_172402,1484295842.55807,2,10,-1.0,0,<Unknown>
11,20170113_172402,1484295842.55807,2,5,-1.0,0,<Unknown>
11,20170113_172402,1484295842.55807,2,19,-1.0,0,<Unknown>
11,20170113_172402,1484295842.55807,2,14,4.87420182129746,-92,Far
12,20170113_172403,1484295843.55660,2,14,-1.0,0,<Unknown>
12,20170113_172403,1484295843.55660,2,19,-1.0,0,<Unknown>
13,20170113_172404,1484295844.55559,2,14,-1.0,0,<Unknown>
13,20170113_172404,1484295844.55559,2,19,-1.0,0,<Unknown>
14,20170113_172405,1484295845.55705,2,14,-1.0,0,<Unknown>
14,20170113_172405,1484295845.55705,2,19,-1.0,0,<Unknown>
15,20170113_172406,1484295846.55717,2,14,-1.0,0,<Unknown>
15,20170113_172406,1484295846.55717,2,19,-1.0,0,<Unknown>
