index,date,epoch_time,major,minor,accuracy,rssi,proximity
1,20170113_172317,1484295797.79347,1,9,1.46779926762207,-80,Near
1,20170113_172317,1484295797.79347,1,5,4.08423865267452,-88,Far
2,20170113_172318,1484295798.78280,1,9,1.82753859753778,-82,Near
2,20170113_172318,1484295798.78280,1,5,4.46490099593905,-89,Far
3,20170113_172319,1484295799.77942,1,9,1.97485573321556,-83,Near
3,20170113_172319,1484295799.77942,1,5,4.53888847921178,-89,Far
4,20170113_172320,1484295800.77982,1,9,1.75265548819495,-80,Near
4,20170113_172320,1484295800.77982,1,5,4.57106464071993,-89,Far
5,20170113_172321,1484295801.77982,1,9,1.41392231512307,-77,Near
5,20170113_172321,1484295801.77982,1,5,4.43223564774445,-88,Far
6,20170113_172322,1484295802.78336,1,9,1.43001083748529,-80,Near
6,20170113_172322,1484295802.78336,1,5,4.47912367327458,-89,Far
7,20170113_172323,1484295803.77938,1,5,-1.0,0,<Unknown>
7,20170113_172323,1484295803.77938,1,9,1.44116264907024,-80,Near
8,20170113_172324,1484295804.78015,1,5,-1.0,0,<Unknown>
8,20170113_172324,1484295804.78015,1,9,1.44895506968685,-80,Near
8,20170113_172324,1484295804.78015,1,13,4.64158883361278,-89,Far
9,20170113_172325,1484295805.78027,1,5,-1.0,0,<Unknown>
9,20170113_172325,1484295805.78027,1,9,1.68697781451892,-85,Near
9,20170113_172325,1484295805.78027,1,13,4.64158878741875,-89,Far
10,20170113_172326,1484295806.77990,1,5,-1.0,0,<Unknown>
10,20170113_172326,1484295806.77990,1,13,-1.0,0,<Unknown>
10,20170113_172326,1484295806.77990,1,9,1.89997659228323,-85,Near
11,20170113_172327,1484295807.77973,1,5,-1.0,0,<Unknown>
11,20170113_172327,1484295807.77973,1,13,-1.0,0,<Unknown>
11,20170113_172327,1484295807.77973,1,9,1.89881401253046,-82,Near
12,20170113_172328,1484295808.77989,1,13,-1.0,0,<Unknown>
12,20170113_172328,1484295808.77989,1,9,1.68642632589721,-79,Near
12,20170113_172328,1484295808.77989,1,5,4.38854102616362,-88,Far
13,20170113_172329,1484295809.78392,1,13,-1.0,0,<Unknown>
13,20170113_172329,1484295809.78392,1,9,1.49094136307073,-78,Near
13,20170113_172329,1484295809.78392,1,5,4.19408930492445,-88,Far
14,20170113_172330,1484295810.78024,1,13,-1.0,0,<Unknown>
14,20170113_172330,1484295810.78024,1,9,1.37112499284933,-78,Near
14,20170113_172330,1484295810.78024,1,5,4.1495413681766,-88,Far
15,20170113_172331,1484295811.78008,1,13,-1.0,0,<Unknown>
15,20170113_172331,1484295811.78008,1,9,1.44554622782155,-81,Near
15,20170113_172331,1484295811.78008,1,5,4.12933551257169,-88,Far
16,20170113_172332,1484295812.78316,1,5,-1.0,0,<Unknown>
16,20170113_172332,1484295812.78316,1,13,-1.0,0,<Unknown>
16,20170113_172332,1484295812.78316,1,9,1.45194999024082,-80,Near
17,20170113_172333,1484295813.77954,1,13,-1.0,0,<Unknown>
17,20170113_172333,1484295813.77954,1,9,1.45654101274167,-80,Near
17,20170113_172333,1484295813.77954,1,5,3.9762349586682,-87,Far
18,20170113_172334,1484295814.77990,1,9,1.79251728700396,-88,Near
18,20170113_172334,1484295814.77990,1,5,4.0083311903444,-88,Far
19,20170113_172335,1484295815.77964,1,9,2.12678126106986,-88,Far
19,20170113_172335,1484295815.77964,1,5,4.02759485273566,-88,Far
19,20170113_172335,1484295815.77964,1,10,4.64158883361278,-89,Far
20,20170113_172336,1484295816.77972,1,5,-1.0,0,<Unknown>
20,20170113_172336,1484295816.77972,1,9,-1.0,0,<Unknown>
20,20170113_172336,1484295816.77972,1,10,4.64158878741875,-89,Far
21,20170113_172337,1484295817.78266,1,5,-1.0,0,<Unknown>
21,20170113_172337,1484295817.78266,1,10,-1.0,0,<Unknown>
21,20170113_172337,1484295817.78266,1,9,2.20378830808577,-84,Far
22,20170113_172338,1484295818.77935,1,5,-1.0,0,<Unknown>
22,20170113_172338,1484295818.77935,1,10,-1.0,0,<Unknown>
22,20170113_172338,1484295818.77935,1,9,1.97035234833627,-81,Near
23,20170113_172339,1484295819.77987,1,5,-1.0,0,<Unknown>
23,20170113_172339,1484295819.77987,1,10,-1.0,0,<Unknown>
23,20170113_172339,1484295819.77987,1,9,2.02462393839651,-83,Near
24,20170113_172340,1484295820.78367,1,5,-1.0,0,<Unknown>
24,20170113_172340,1484295820.78367,1,10,-1.0,0,<Unknown>
24,20170113_172340,1484295820.78367,1,9,2.31333461400123,-87,Far
25,20170113_172341,1484295821.78070,1,5,-1.0,0,<Unknown>
25,20170113_172341,1484295821.78070,1,10,-1.0,0,<Unknown>
25,20170113_172341,1484295821.78070,1,9,2.61471039715409,-88,Far
26,20170113_172342,1484295822.77961,1,5,-1.0,0,<Unknown>
26,20170113_172342,1484295822.77961,1,10,-1.0,0,<Unknown>
26,20170113_172342,1484295822.77961,1,9,2.87245388890414,-88,Far
27,20170113_172343,1484295823.78023,1,10,-1.0,0,<Unknown>
27,20170113_172343,1484295823.78023,1,9,-1.0,0,<Unknown>
27,20170113_172343,1484295823.78023,1,5,3.91823444356333,-87,Far
28,20170113_172344,1484295824.78022,1,10,-1.0,0,<Unknown>
28,20170113_172344,1484295824.78022,1,9,-1.0,0,<Unknown>
28,20170113_172344,1484295824.78022,1,5,3.6680715330833,-87,Far
29,20170113_172345,1484295825.77990,1,10,-1.0,0,<Unknown>
29,20170113_172345,1484295825.77990,1,9,-1.0,0,<Unknown>
29,20170113_172345,1484295825.77990,1,5,3.63461988221211,-87,Far
30,20170113_172346,1484295826.78036,1,9,-1.0,0,<Unknown>
30,20170113_172346,1484295826.78036,1,5,3.77183775480017,-88,Far
31,20170113_172347,1484295827.77984,1,9,-1.0,0,<Unknown>
31,20170113_172347,1484295827.77984,1,5,3.72137477763628,-87,Far
32,20170113_172348,1484295828.77881,1,9,3.01580557180781,-87,Far
32,20170113_172348,1484295828.77881,1,5,3.56818326999784,-86,Far
33,20170113_172349,1484295829.77925,1,9,-1.0,0,<Unknown>
33,20170113_172349,1484295829.77925,1,5,3.76486269068864,-89,Far
34,20170113_172350,1484295830.77982,1,9,-1.0,0,<Unknown>
34,20170113_172350,1484295830.77982,1,5,3.92353129636388,-89,Far
35,20170113_172351,1484295831.78325,1,5,-1.0,0,<Unknown>
35,20170113_172351,1484295831.78325,1,9,-1.0,0,<Unknown>
36,20170113_172352,1484295832.77960,1,9,-1.0,0,<Unknown>
36,20170113_172352,1484295832.77960,1,3,1.89573565240638,-82,Near
36,20170113_172352,1484295832.77960,1,5,2.45085826410005,-77,Far
36,20170113_172352,1484295832.77960,1,2,4.08423865267452,-88,Far
37,20170113_172353,1484295833.78243,1,9,-1.0,0,<Unknown>
37,20170113_172353,1484295833.78243,1,3,2.10857899313915,-83,Near
37,20170113_172353,1484295833.78243,1,22,2.78255940220712,-85,Near
37,20170113_172353,1484295833.78243,1,5,2.55101029858215,-85,Far
37,20170113_172353,1484295833.78243,1,13,3.16227766016838,-86,Far
37,20170113_172353,1484295833.78243,1,19,3.16227766016838,-86,Far
37,20170113_172353,1484295833.78243,1,15,3.16227766016838,-86,Far
37,20170113_172353,1484295833.78243,1,2,3.72346791120458,-87,Far
37,20170113_172353,1484295833.78243,1,14,4.08423865267452,-88,Far
37,20170113_172353,1484295833.78243,1,10,4.08423865267452,-88,Far
38,20170113_172354,1484295834.78199,1,22,-1.0,0,<Unknown>
38,20170113_172354,1484295834.78199,1,2,-1.0,0,<Unknown>
38,20170113_172354,1484295834.78199,1,14,-1.0,0,<Unknown>
38,20170113_172354,1484295834.78199,1,13,-1.0,0,<Unknown>
38,20170113_172354,1484295834.78199,1,9,-1.0,0,<Unknown>
38,20170113_172354,1484295834.78199,1,3,-1.0,0,<Unknown>
38,20170113_172354,1484295834.78199,1,5,2.78075098809093,-87,Far
38,20170113_172354,1484295834.78199,1,19,3.16227766938171,-86,Far
38,20170113_172354,1484295834.78199,1,15,3.47972795006398,-87,Far
38,20170113_172354,1484295834.78199,1,10,4.08423861687013,-88,Far
39,20170113_172355,1484295835.78143,1,22,-1.0,0,<Unknown>
39,20170113_172355,1484295835.78143,1,2,-1.0,0,<Unknown>
39,20170113_172355,1484295835.78143,1,14,-1.0,0,<Unknown>
39,20170113_172355,1484295835.78143,1,13,-1.0,0,<Unknown>
39,20170113_172355,1484295835.78143,1,19,-1.0,0,<Unknown>
39,20170113_172355,1484295835.78143,1,10,-1.0,0,<Unknown>
39,20170113_172355,1484295835.78143,1,15,-1.0,0,<Unknown>
39,20170113_172355,1484295835.78143,1,9,-1.0,0,<Unknown>
39,20170113_172355,1484295835.78143,1,3,-1.0,0,<Unknown>
39,20170113_172355,1484295835.78143,1,5,3.03019324137134,-88,Far
40,20170113_172356,1484295836.78214,1,22,-1.0,0,<Unknown>
40,20170113_172356,1484295836.78214,1,2,-1.0,0,<Unknown>
40,20170113_172356,1484295836.78214,1,14,-1.0,0,<Unknown>
40,20170113_172356,1484295836.78214,1,13,-1.0,0,<Unknown>
40,20170113_172356,1484295836.78214,1,19,-1.0,0,<Unknown>
40,20170113_172356,1484295836.78214,1,10,-1.0,0,<Unknown>
40,20170113_172356,1484295836.78214,1,15,-1.0,0,<Unknown>
40,20170113_172356,1484295836.78214,1,3,-1.0,0,<Unknown>
40,20170113_172356,1484295836.78214,1,5,3.14867671054117,-87,Far
40,20170113_172356,1484295836.78214,1,9,3.9941035853891,-89,Far
41,20170113_172357,1484295837.78201,1,22,-1.0,0,<Unknown>
41,20170113_172357,1484295837.78201,1,2,-1.0,0,<Unknown>
41,20170113_172357,1484295837.78201,1,14,-1.0,0,<Unknown>
41,20170113_172357,1484295837.78201,1,13,-1.0,0,<Unknown>
41,20170113_172357,1484295837.78201,1,19,-1.0,0,<Unknown>
41,20170113_172357,1484295837.78201,1,10,-1.0,0,<Unknown>
41,20170113_172357,1484295837.78201,1,15,-1.0,0,<Unknown>
41,20170113_172357,1484295837.78201,1,3,-1.0,0,<Unknown>
41,20170113_172357,1484295837.78201,1,5,3.24024241983294,-87,Far
41,20170113_172357,1484295837.78201,1,9,4.48033904639513,-89,Far
42,20170113_172358,1484295838.78140,1,22,-1.0,0,<Unknown>
42,20170113_172358,1484295838.78140,1,2,-1.0,0,<Unknown>
42,20170113_172358,1484295838.78140,1,14,-1.0,0,<Unknown>
42,20170113_172358,1484295838.78140,1,13,-1.0,0,<Unknown>
42,20170113_172358,1484295838.78140,1,19,-1.0,0,<Unknown>
42,20170113_172358,1484295838.78140,1,10,-1.0,0,<Unknown>
42,20170113_172358,1484295838.78140,1,15,-1.0,0,<Unknown>
42,20170113_172358,1484295838.78140,1,9,-1.0,0,<Unknown>
42,20170113_172358,1484295838.78140,1,3,-1.0,0,<Unknown>
42,20170113_172358,1484295838.78140,1,5,3.4707981159669,-89,Far
